Trying to pull quay.io/konveyor/generic-external-provider:v0.9.0-rc.1...
Getting image source signatures
Copying blob sha256:91c155f5683e47b3336b75924715d56597a9bb8276fdcdaa1510c0c07a575a0e
Copying blob sha256:063fbd5fac6af91f4042bbe66bae69795aa46675d5b0c800ed195ad79ed8fb02
Copying config sha256:27d18a6ef30d29bab1379522ebd65ceac47464ca4c04283164d7424c75924c18
Writing manifest to image destination
6b6087b250fb51cb67bd3bca72b2123946b434727d3fad0412b85270470b8505
time="2026-02-24T09:32:03-05:00" level=info msg="provider configuration" config="{\"location\":\"/opt/input/source\",\"analysisMode\":\"full\",\"providerSpecificConfig\":{\"lspServerArgs\":[\"--stdio\"],\"lspServerName\":\"nodejs\",\"lspServerPath\":\"/usr/local/bin/typescript-language-server\",\"workspaceFolders\":[\"file:///opt/input/source\"]},\"proxyConfig\":{\"HTTPProxy\":\"\",\"HTTPSProxy\":\"\",\"NoProxy\":\"\",\"CGI\":false},\"pipeName\":\"\",\"initialized\":false}" logger=nodejs provider=grpc
time="2026-02-24T09:32:08-05:00" level=debug msg="starting provider" locations="[\"/Users/jmatthews/VM-Shared/patternfly_experiments/pranavs_skill/playpen-pf-mig-skills/experiments/migration-skill-quipuchords-jwm/quipucords-ui\"]" provider=builtin
time="2026-02-24T09:32:08-05:00" level=unknown msg="skipping analysis mode setting for builtin"
time="2026-02-24T09:32:08-05:00" level=unknown msg="inited working copy manager" dir=/var/folders/l1/1b7gzz8n02b5nrtdq51bnj4r0000gn/T/analyzer-lsp-wc-manager-3576237896
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=2
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=2
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=2
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=2
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=2
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=3
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=3
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=2
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=2
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=3
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=4
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=3
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=4
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=4
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=3
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=5
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=4
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=2
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=5
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=5
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=3
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=2
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=6
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=6
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=2
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=3
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=2
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=4
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=7
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=5
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=3
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=7
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=2
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=6
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=2
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=5
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=3
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
time="2026-02-24T09:32:08-05:00" level=unknown msg="rules parsed" logger=parser parsed=1
